Селиверстов Севастьян Федотович:18ПМИ-2
Карташов Дмитрий Давидович:18ПМИ-2
Борзилов Самуил Валериевич:18ПМИ-2
Янаев Анатолий Онисимович:18ПМИ-2
Ячменцев Кир Егорович:18ПМИ-2
Изюмов Мартьян Капитонович:18ПМИ-2
Полков Мстислав Якубович:18ПМИ-2
Привалов Венедикт Евлампиевич:18ПМИ-2
Ягубов Степан Чеславович:18ПМИ-2
Замятнин Афанасий Самуилович:18ПМИ-2
Ядрышников Борислав Епифанович:18ПМИ-2
Ожегов Прокофий Онуфриевич:18ПМИ-2
Бикеев Евгений Филимонович:18ПМИ-2
Аникеев Алексей Касьянович:18ПМИ-2
Элинский Егор Эрнстович:18ПМИ-2
Северин Илья Артемиевич:18ПМИ-2
Тянников Тит Фролович:18ПМИ-2
Мухаметов Борис Прохорович:18ПМИ-2
Катрановский Евграф Прокофиевич:18ПМИ-2
Ялчевский Панкратий Леонович:18ПМИ-2
Авдеев Мирослав Изяславович:18ПМИ-2
Корниец Иннокентий Георгиевич:18ПМИ-2
Яковенко Ерофей Ираклиевич:18ПМИ-2
Шитов Ян Давыдович:18ПМИ-2
Чурсунов Авдей Андроникович:18ПМИ-2
Воликов Станислав Пахомович:18ПМИ-2
Анишин Вячеслав Феоктистович:18ПМИ-2
Помелов Никита Кириллович:18ПМИ-2
Вагин Андрей Матвеевич:18ПМИ-2
Будников Денис Карлович:18ПМИ-2
Калашник Соломон Леонидович:18ПМИ-2
Ястребов Чеслав Евгениевич:18ПМИ-2
Мурзаков Трофим Самсонович:18ПМИ-2
Капица Игнат Назарович:18ПМИ-2
Старицкий Глеб Измаилович:18ПМИ-2
Шаповалов Виссарион Трофимович:18ПМИ-2
Ромазанов Вацлав Эдуардович:19ПИ-1
Новоселов Эмиль Архипович:19ПИ-1
Щетинин Тимур Григориевич:19ПИ-1
Балахнов Елисей Игнатиевич:19ПИ-1
Курбонмамадов Федор Михеевич:19ПИ-1
Алексеев Филипп Александрович:19ПИ-1
Погребной Юрий Остапович:19ПИ-1
Лидин Харитон Филиппович:19ПИ-1
Салко Клавдий Владимирович:19ПИ-1
Потапов Фадей Олегович:19ПИ-1
Ягунов Саввелий Казимирович:19ПИ-1
Камбаров Якуб Никанорович:19ПИ-1
Оспищев Лукьян Адамович:19ПИ-1
Локтионов Прохор Леонтиевич:19ПИ-1
Ерёмин Потап Алексеевич:19ПИ-1
Деникин Евстигней Потапович:19ПИ-1
Печкин Феофан Адрианович:19ПИ-1
Кунаковский Виктор Андронович:19ПИ-1
Голумбовский Эрнест Сигизмундович:19ПИ-1
Вавилов Валерий Левович:19ПИ-1
Баландин Леонид Мечиславович:19ПИ-1
Тюшняков Радислав Анатолиевич:19ПИ-1
Герасимов Игорь Эмилевич:19ПИ-1
Фетисов Адриан Юриевич:19ПИ-1
Кучеров Марк Натанович:19ПИ-1
Брежнев Изяслав Климентович:19ПИ-1
Абдулов Артём Кондратович:19ПИ-1
Нилов Касьян Валерьянович:19ПИ-1
Мажулин Арсений Федосиевич:19ПИ-1
Купцов Федосий Святославович:19ПИ-1
Стародубов Савелий Андреевич:19ПИ-1
Циммерман Ипатий Данилевич:19ПИ-1
Титов Лука Еремеевич:19ПИ-1
Щеглов Артур Феликсович:19ПИ-1
Бутиков Всеволод Артемович:19ПИ-1
Кузьмич Григорий Евстафиевич:19ПИ-1
Теплых Еремей Никонович:19ПИ-1
Пшеничников Гавриил Кондратиевич:19ПИ-1
Гришко Прокл Титович:19ПИ-1
Холопов Федот Михаилович:19ПИ-1
Эсце Платон Евграфович:19ПИ-1
Золотухин Модест Сергеевич:19ПИ-1
Хуртин Тарас Елизарович:19ПИ-1
Хорьков Эдуард Панкратиевич:19ПИ-1
Бялик Михей Брониславович:19ПИ-1
Воронов Лев Серафимович:19ПИ-1
Голубовский Пахом Ипатиевич:19ПИ-1
Чумаков Эрнст Агапович:19ПИ-1
Алленов Ипполит Сидорович:19ПИ-1
Вастьянов Владлен Иннокентиевич:19ПИ-1
Циолковский Юлий Никитевич:19ПИ-1
Херман Моисей Ульянович:17Ю-2
Ярцин Руслан Афанасиевич:17Ю-2
Нечаев Лавр Тимурович:17Ю-2
Ярошинский Ульян Родионович:17Ю-2
Салехов Адам Тихонович:17Ю-2
Глаголев Фома Богданович:17Ю-2
Серебров Ефрем Владиславович:17Ю-2
Янутан Демьян Аполлинариевич:17Ю-2
Карабатов Лаврентий Вадимович:17Ю-2
Эсмонд Родион Сократович:17Ю-2
Завражнов Захар Несторович:17Ю-2
Якименко Кирилл Наумович:17Ю-2
Кодица Фока Денисович:17Ю-2
